id,canonicalId,fieldLayoutId,uid,enabled,archived,dateLastMerged,dateCreated,dateUpdated,siteSettingsId,siteId,title,slug,uri,content,enabledForSite,typeId,postDate,expiryDate,defaultPrice,defaultBasePrice,defaultVariantId,defaultSku,defaultWeight,defaultLength,defaultWidth,defaultHeight,storeId,root,lft,rgt,level,draftId,draftCreatorId,isProvisionalDraft,draftName,draftNotes
622,,37,9ca4a4ad-cd80-4a97-bd9b-b29540ed5f5c,1,0,,"2024-11-03 22:21:16","2024-12-03 03:10:03",622,1,"CK 20 Fan Assisted Heater",ck-20-fan-assisted-heater,shop/ck-20-fan-assisted-heater,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""<p>Stiebel Eltron</p>"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>Experience rapid and efficient room heating with our fan-assisted electric room heaters. The inclusion of a powerful fan ensures swift distribution of heat throughout the space, allowing you to feel comfortably warm in a matter of moments. No more waiting around for the chill to dissipate.</p><p>Our heaters are designed with your convenience and safety in mind. They come equipped with an automatic cut-out feature that activates when the desired temperature is reached. Once the room is adequately heated, the heater will turn off on its own. And when the temperature drops below your set level, it will automatically switch back on. It’s a set-and-forget solution, giving you peace of mind and allowing you to enjoy your cosy surroundings hassle-free.</p><ul><li>Fan assisted heater for quick room heating</li><li>Automatic cut out when set temperature is reached</li><li>Slim curved design</li><li>Easy wall mounting installation</li><li>Thermal safety cut out</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [569], ""d7441c86-ff52-423b-bbfa-1facc8450825"": [2361], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""<p>Embrace the comfort and efficiency of our fan-assisted electric room heaters, ensuring a cosy space whenever you need it. Say goodbye to chilly rooms and hello to quick, hassle-free warmth.</p>"", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": [1438, 1439, 1440]}",1,1,"2024-11-03 22:12:25",,571.0000,571.0000,624,202085,5.3000,12.6000,34.5000,47.0000,1,18,2,3,1,,,,,
796,,37,7352cfb7-4089-4820-82a3-c706a3286d92,1,0,,"2024-11-14 00:05:38","2024-11-14 21:33:01",796,1,"AT25 Air Tight and Insulated Loft Hatch",at25-air-tested-loft-hatch,shop/at25-air-tested-loft-hatch,"{""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>AT25 Air Tight &amp; Insulated Drop Down Hatch is the first product of its kind to achieve airtightness under both positive and negative air pressure.  By combining the best draught proofing and insulation, no other loft hatch offers as much potential to reduce heat loss and save on heating as this product does. This slender, hinged loft hatch has very clean lines, is easy to fit, easy to use and looks incredibly neat.</p><p>Fitting is simple, just screw fix through the pre-drilled holes in the frame into the surrounding joists. The spring loaded twist catch lock ensures a high compression seal between the door and the frame. The outer frame is also fitted with a seal to ensure air cannot easily escape from around the outer edge of the hatch. No additional sealant is required. Comes with fixing screws and plastic o-ring seals which maintain the air seal between the hatch and the fixings.</p><ul><li>Airtight at 600Pa air pressure (Positive and negative)</li><li>Easy to fit and easy to open with hinge down movement</li><li>Neatest loft hatch on the market, protrudes just 2mm from ceiling when fitted</li><li>Fabricated from steel, finished in white Powder coat</li><li>Made from 80% recycled steel. GWP and ODP ratings of zero</li><li>PIR Foam (100mm) insulation to give U Value of 0.15</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [572], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""By combining the best draught proofing and insulation, no other loft hatch offers as much potential to reduce heat loss and save on heating as this product does."", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": [1355, 1354]}",1,1,"2024-09-30 12:00:00",,274.0000,274.0000,798,AT-25,4.8000,64.0000,56.0000,10.0000,1,18,6,7,1,,,,,
801,,37,3731656f-a945-4f2a-80c7-1113d627ace8,1,0,,"2024-11-14 00:05:39","2024-11-14 22:17:40",801,1,"DN125 Cone Filter",dn125-cone-filter,shop/dn125-cone-filter,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""Zehnder"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""Zehnder conical filter for DN125 exhaust valves. Modern, synthetic two-layer filtering material which provides less air resistance (and therefore less energy consumption), high filtration efficiency levels (in the form of dust absorption), and a long filter life. These cone filters are generally used for exhaust air openings in kitchens and bathrooms."", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [570], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""Modern, synthetic two-layer filtering material which provides less air resistance (and therefore less energy consumption), high filtration efficiency levels (in the form of dust absorption), and a long filter life."", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,8.0000,8.0000,803,990320032,0.0100,17.0000,21.0000,2.0000,1,18,8,9,1,,,,,
806,,37,093bcf1a-8453-43f3-abea-c1e38ed47ddf,1,0,,"2024-11-14 00:05:39","2024-11-14 22:24:06",806,1,"G4 Filter",g4-filter,shop/g4-filter,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""Zehnder"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""Filters should be inspected monthly and given a light vacuum to remove dirt and dust. Filters will eventually become blocked with residual debris and should then be replaced. Typically, blocking will occur every 6 - 12 months depending on the location (near busy roads or inner city areas tend to block more quickly than remote country settings)."", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [570], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""Filter set to suit models Q350, Q450 or Q6001x G4 Filter for the extract ISO Coarse ≥ 65 %25"", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,67.5300,67.5300,808,400502014,0.4000,56.0000,21.0000,6.0000,1,18,10,11,1,,,,,
811,,37,30842637-1540-4f81-b18d-dd1e0ef76184,1,0,,"2024-11-14 00:05:40","2024-11-14 22:19:59",811,1,"F7 Filter",f7-filter,shop/f7-filter,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""Zehnder"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""Filters should be inspected monthly and given a light vacuum to remove dirt and dust. Filters will eventually become blocked with residual debris and should then be replaced. Typically, blocking will occur every 6 - 12 months depending on the location (near busy roads or inner city areas tend to block more quickly than remote country settings)."", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [570], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""Filter set to suit models Q350, Q450 or Q6001x F7 Pollen filter for the intake, ISO ePM1 ≥ 65 %25"", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,67.5300,67.5300,813,400502015,0.4000,56.0000,21.0000,6.0000,1,18,12,13,1,,,,,
816,,37,59cdb101-7bf2-4d41-a9d7-d7b8fe23c6dd,1,0,,"2024-11-14 00:05:40","2024-11-22 02:34:55",816,1,"Rissan 430 Grey",rissan-430-grey,shop/rissan-430-grey,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""SIGA"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>Rissan 430 Grey is a raintight, robust and strong adhesive tape that is especially suitable for outdoor details in the sub sill at window openings and it protects the building during the construction phase.</p><ul><li><strong>high adhesive strength in cold and heat</strong><br />safe, no structural damage</li><li><strong>robust and durable</strong><br />no damage during the construction phase</li><li><strong>water proof</strong><br />protects the construction from moisture</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [566, 567, 576], ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,153.2600,153.2600,818,2510-023025.03,16.5000,0.0000,0.0000,0.0000,1,18,14,15,1,,,,,
821,,37,652959a9-c533-4272-8e7a-0e0ed3017fa2,1,0,,"2024-11-14 00:05:41","2024-12-03 03:44:34",821,1,"Polar Extrem Attic Stairs",polar-extrem-attic-stairs,shop/polar-extrem-attic-stairs,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""Minka"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>One of the common issues homeowners face when installing an attic ladder or stairs is the impact on the thermal envelope. Traditional attic stairs often result in air leakage, leading to energy loss and increased heating or cooling costs. However, our new insulated and airtight attic stairs are specifically designed to overcome this problem. They allow homeowners to access their ceiling space without compromising the airtightness of the home, and significantly contribute to reducing energy consumption and maintaining a comfortable temperature within the living spaces.</p><p>The Polar Extrem, with its extreme insulation properties, allows homeowners to access their ceiling space without compromising the airtightness of the home and significantly contributes to reducing energy consumption and maintaining a comfortable temperature within the living spaces.</p><h3>Here are some key features and benefits of the Polar Extrem attic ladder:</h3><ul><li><strong>Highly insulated:</strong> The loft or attic ladder is constructed with extreme insulation, ensuring minimal heat transfer between the attic and living spaces.</li><li><strong>Air Tightness Class 4:</strong> The two-point safety lock system guarantees a high level of airtightness, preventing air leakage and maintaining the energy efficiency of the home. The discreet white cover adds to the overall appearance while effectively sealing the attic entrance.</li><li><strong>Thermal performance:</strong> The U-value of these insulated attic stairs is an impressive 0.59 W/m2K. Other thermal performance options are available on request. U-value with ISO upper lid: 0.37 W/m K</li><li><strong>User-friendly design:</strong> We have prioritised ease of use with a double-click opening and closing mechanism, allowing for effortless operation. Additionally, the ladder is equipped with a steel safety handrail and stair shoes, ensuring safety and stability during use.</li><li><strong>Fully assembled:</strong> Our attic stairs come fully assembled, saving you time and effort on installation.</li><li><strong>Dimensions and load capacity:</strong> The maximum room height for our attic stairs is 2800mm, and the ceiling opening size is 1200 x 600mm. With a robust construction, the ladder can support a maximum load of 150kg, providing durability and safety. Other sizes are available on request.</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [572], ""d7441c86-ff52-423b-bbfa-1facc8450825"": [2361, 2435], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""<p>The Polar Extrem, with its extreme insulation properties, allows homeowners to access their ceiling space without compromising the airtightness of the home and significantly contributes to reducing energy consumption and maintaining a comfortable temperature within the living spaces.</p>"", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": [1364]}",1,1,"2024-09-30 12:00:00",,595.0000,595.0000,823,10653-139/69,36.0000,1.4000,70.0000,33.0000,1,18,16,17,1,,,,,
830,,37,5d209943-6a63-49fc-9737-cf32ce0e8153,1,0,,"2024-11-14 00:05:42","2024-11-22 02:32:15",830,1,"Majvest 700 SOB",majvest-700-sob,shop/majvest-700-sob,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""SIGA"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>Acrylate coating on robust fleece for facades with permanently open gaps of up to 50mm and a maximum surface share of 40%.</p><ul><li><strong>extremely UV-stable</strong><br />highly resistant to ageing and permanently tight</li><li><strong>high adhesive strength with Wigluv black</strong><br />reliability for all joints and overlaps</li><li><strong>sturdy and dimensionally stable</strong><br />easy to apply with high optical quality</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [566, 567, 574], ""e655db88-a221-4aa8-b00a-934030034f3a"": ""<p>This black, diffusion-open and driving rain-proof sheet is perfectly suited for the protection of building envelopes with permanently open facades.</p><p>Width: 1.5m Length: 30.4m</p>"", ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,755.2900,755.2900,832,8975-150033,16.8000,0.0000,0.0000,0.0000,1,18,18,19,1,,,,,
835,,37,b7cede9c-0a2e-4bd5-a795-5e6eb539f7e4,1,0,,"2024-11-14 00:05:43","2024-11-22 02:35:20",835,1,"Rissan 430 Grey Corner 50/100/100",rissan-430-grey-corner-50-100-100,shop/rissan-430-grey-corner-50-100-100,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""SIGA"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<p>Durable single-piece corner accessory that provides airtight and watertight corners for windows and doors.</p><ul><li><strong>high adhesive strength at high and low temperatures</strong><br />hot and cold temperature application without the use of a primer</li><li><strong>durable</strong><br />high puncture and abrasion resistance</li><li><strong>split, tearproof  backing strip</strong><br />fast installation</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [566, 567, 576], ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,18.7700,18.7700,837,2510-9000201.03,1.1600,0.0000,0.0000,0.0000,1,18,20,21,1,,,,,
840,,37,dfed9087-409b-403e-aab6-9bc1ca55ec67,1,0,,"2024-11-14 00:05:43","2024-12-03 03:12:00",840,1,"Polar Top Attic Stairs",polar-top-attic-stairs,shop/polar-top-attic-stairs,"{""234211ef-73dc-4633-a1c2-49ce8105e9d3"": ""Minka"", ""241c6c24-ea9c-4069-84cc-9d89ad93a605"": ""<ul><li>Wooden loft or attic ladder with extremely high cover insulation strength</li><li>2-point safety lock for high air tightness</li><li>U-value: 0.40 W/m 2 K</li><li>U-value with ISO top cover: 0.32 W/m 2 K</li><li>Air tightness class 4</li><li>Maximum room height: 275 cm</li></ul>"", ""ac005c7a-a9f0-499e-975e-1d95457876b7"": [572], ""d7441c86-ff52-423b-bbfa-1facc8450825"": [2361], ""ed90b48d-fdca-4f8c-b38a-ad8f95ab1423"": []}",1,1,"2024-09-30 12:00:00",,1074.9700,1074.9700,842,10633,34.0000,1.2000,60.0000,40.0000,1,18,22,23,1,,,,,
